Employee #,Filled Position Description,Filled FTE Percent,Current Salary
3956,LIBRARIAN 2-33, 	1.00 ," 	73,492 "
2682,LIBRARY ASST 1-32, 	1.00 ," 	47,783 "
3859,CUSTODIAL WORKER 3-15, 	1.00 ," 	56,955 "
2993,CLERK-TYP 2-32 PT, 	0.70 ," 	34,454 "
3676,LIBRARIAN 1-33, 	1.00 ," 	64,828 "
10574,MKTG/COMMUN SPEC-18, 	1.00 ," 	61,198 "
3061,PROG ASST 1-32, 	1.00 ," 	57,209 "
3925,LIBRARIAN 1-33, 	1.00 ," 	60,747 "
3993,ADMIN CLK 1-32 PT, 	0.70 ," 	39,309 "
9124,LIBRARIAN 1-33, 	1.00 ," 	58,884 "
10633,CLERK-TYP 1-32 PT, 	0.60 ," 	21,961 "
4170,LIBRARIAN 1-33, 	1.00 ," 	59,028 "
11567,LIBRARIAN 1-33, 	1.00 ," 	57,308 "
3749,PROG ASST 1-32, 	1.00 ," 	60,447 "
3257,PLAN DEVELOP DIR OF-21, 	1.00 ," 	157,483 "
10235,COM DEV TECH 2-20, 	1.00 ," 	58,546 "
1036,ADMIN CLK 1-20, 	1.00 ," 	55,963 "
VACANT,VACANT,VACANT,VACANT
10372,COM DEV SPEC 2-18, 	1.00 ," 	75,841 "
VACANT,VACANT,VACANT,VACANT
1005,ADMIN CLK 1-20, 	1.00 ," 	56,990 "
VACANT,VACANT,VACANT,VACANT
10319,CLERK-TYPT 1-20 PT, 	0.60 ," 	24,618 "
VACANT,VACANT,VACANT,VACANT
2226,ADMIN CLK 1-20, 	1.00 ," 	52,882 "
11580,PROGRAM ASST 2-17, 	1.00 ," 	49,381 "
3442,PLANNER-PRINCIPAL-18, 	1.00 ," 	108,338 "
2358,PROGRAM ASST 1-20, 	1.00 ," 	59,648 "
4046,ADMIN CLK 1-20, 	1.00 ," 	57,503 "
1743,BUSINESS DEV SPEC 2-18, 	1.00 ," 	80,391 "
3618,PLANNER 1-18, 	1.00 ," 	76,313 "
10663,PLANNER 3-18, 	1.00 ," 	79,611 "
3770,PLAN GIS SPECIALIST-18, 	1.00 ," 	81,203 "
5713,PLANNER 2-18, 	1.00 ," 	78,116 "
1046,PLANNER 3-18, 	1.00 ," 	90,881 "
1151,PLANNING DIV DIR-21, 	1.00 ," 	122,357 "
10647,PLANNER 1-18, 	1.00 ," 	61,198 "
9123,PLANNER 2-18, 	1.00 ," 	75,841 "
12628,PLANNER 3-18, 	1.00 ," 	69,376 "
9122,PLANNER 2-18, 	1.00 ," 	72,495 "
4023,MAD ARTS PROG ADMIN-18, 	1.00 ," 	88,380 "
2802,PLANNER 4-18, 	1.00 ," 	102,547 "
2433,PROGRAM ASST 2-20, 	1.00 ," 	62,344 "
1607,PLANNER 4-18, 	1.00 ," 	99,800 "
3455,PLANNER-PRINCIPAL-18, 	1.00 ," 	111,494 "
5362,CODE ENFORC OFF 3-16, 	1.00 ," 	77,839 "
3278,CODE ENFORC OFF 3-16, 	1.00 ," 	77,839 "
1887,CODE ENFORC OFF 3-16, 	1.00 ," 	77,839 "
1892,BLDG INSPECT DIV DIR-21, 	1.00 ," 	134,494 "
11691,CUSTODIAL WKR 1-16, 	1.00 ," 	40,741 "
4111,ARCHITECT 4-18, 	1.00 ," 	103,414 "
2901,ZONING ADMINISTRATOR-18, 	1.00 ," 	108,404 "
2345,CODE ENFORC OFF 3-16, 	1.00 ," 	80,107 "
7677,ELEC/HEAT INSPECTOR-16, 	1.00 ," 	75,572 "
10911,PROPERTY CODE INSP 1-16, 	1.00 ," 	51,534 "
11259,ADMIN CLK 1-20, 	1.00 ," 	46,856 "
VACANT,VACANT,VACANT,VACANT
11681,ARCHITECT 3-18, 	1.00 ," 	79,611 "
11989,ELEC/HEAT INSPECTOR-16, 	1.00 ," 	64,772 "
1649,HSG INSPECTION SUPV-18, 	1.00 ," 	94,307 "
2133,CODE ENFORC OFF 3-16, 	1.00 ," 	83,885 "
2104,MAINT MECH 2-16, 	2.00 ," 	72,545 "
1123,CUSTODIAL SERV COORD-16, 	1.00 ," 	59,229 "
11175,INFORMATION CLERK-20, 	1.00 ," 	44,338 "
VACANT,VACANT,VACANT,VACANT
2793,ELEC/HEAT INSPECTOR-16, 	1.00 ," 	80,107 "
3178,CUSTODIAL WKR 2-16, 	1.00 ," 	55,657 "
7978,CODE ENFC OFF 2-16, 	1.00 ," 	62,659 "
10674,PROGRAM ASST 3-17, 	1.00 ," 	52,767 "
1092,ADMIN CLK 1-20, 	1.00 ," 	45,663 "
VACANT,VACANT,VACANT,VACANT
12721,CUSTODIAL WKR 1-16, 	1.00 ," 	40,741 "
7590,PLUMB/HEAT INSPECTOR-16, 	1.00 ," 	75,572 "
2172,ZONING CODE OFF 2-16, 	1.00 ," 	72,095 "
2663,CUSTODIAL WKR 1-16, 	1.00 ," 	45,937 "
9207,ELEC/HEAT INSPECTOR-16, 	1.00 ," 	72,468 "
2220,CODE ENFORC OFF 3-16, 	1.00 ," 	84,641 "
8537,MAINT MECH 1-16, 	1.00 ," 	58,773 "
VACANT,VACANT,VACANT,VACANT
1824,INFORMATION CLERK-20, 	1.00 ," 	49,900 "
4152,PLAN REVIEW SPEC 1-16, 	1.00 ," 	62,474 "
7645,WGTS MEASURES INSP 2-16, 	1.00 ," 	64,772 "
3728,ELECTRICIAN-71, 	1.00 ," 	78,365 "
VACANT,VACANT,VACANT,VACANT
VACANT,VACANT,VACANT,VACANT
9070,CUSTODIAL WKR 1-16, 	1.00 ," 	42,602 "
2681,PLAN REVIEW SPEC 4-16, 	1.00 ," 	88,111 "
2130,PROPERTY CODE INSP 1-16, 	1.00 ," 	62,581 "
3981,ZONING ADMIN ASST-16, 	1.00 ," 	81,618 "
2049,CODE ENFC OFF 2-16, 	1.00 ," 	75,207 "
10373,CODE ENFC OFF 1-16, 	1.00 ," 	57,469 "
2719,PLUMB/HEAT INSPECTOR-16, 	1.00 ," 	77,839 "
2307,PLUMB/HEAT INSPECTOR-16, 	1.00 ," 	77,839 "
2576,HSG REHAB SPEC-18, 	1.00 ," 	84,942 "
5999,REAL ESTATE AGENT 2-18, 	1.00 ," 	78,116 "
3932,REAL ESTATE AGENT 3-18 PT, 	1.00 ," 	93,382 "
2779,PROGRAM ASST 2-17, 	1.00 ," 	59,241 "
7648,REAL ESTATE AGENT 3-18, 	1.00 ," 	83,377 "
2240,REAL ESTATE SUPERV-18, 	1.00 ," 	108,338 "
3882,REAL ESTATE AGENT 4-18, 	1.00 ," 	94,307 "
3651,BUSINESS DEV SPEC-18, 	1.00 ," 	94,307 "
1713,HSG REHAB SPEC-18, 	1.00 ," 	84,184 "
1562,ACCT CLERK 3-20, 	1.00 ," 	60,732 "
2913,CERT MUNI CLK-20, 	1.00 ," 	55,852 "
3548,ASSESS SERVS SUPV-18, 	1.00 ," 	84,942 "
2180,PROPERTY APPRAISER 4-16, 	1.00 ," 	91,784 "
12652,MUNI CLK 1-20, 	1.00 ," 	45,663 "
2579,PROPERTY APPRAISER 3-16, 	1.00 ," 	86,538 "
6756,MUNI CLK 2-20, 	1.00 ," 	54,366 "
VACANT,VACANT,VACANT,VACANT
11810,PROP LISTER 1-20, 	1.00 ," 	45,663 "
11568,CITY ASSESSOR-21, 	1.00 ," 	123,900 "
3220,PROGRAM ASST 1-20, 	1.00 ," 	55,852 "
2645,FIN OPER LDWKR-20, 	1.00 ," 	62,344 "
1154,PROPERTY APPRAISER 2-16, 	1.00 ," 	81,164 "
9593,ASSESS TECH 1-16, 	1.00 ," 	52,979 "
1753,PROPERTY APPRAISER 3-16, 	1.00 ," 	88,111 "
VACANT,VACANT,VACANT,VACANT
1815,PROPERTY APPRAISER 4-16, 	1.00 ," 	90,964 "
4143,PROPERTY APPRAISER 2-16, 	1.00 ," 	81,164 "
7879,ADMIN CLK 1-20, 	1.00 ," 	49,637 "
9231,PROPERTY APPRAISER 2-16, 	1.00 ," 	64,772 "
1523,PROPERTY APPRAISER 2-16, 	1.00 ," 	74,642 "
12690,MUNI CLK 1-20, 	1.00 ," 	45,663 "
3025,ADMIN CLK 1-20, 	1.00 ," 	57,503 "
2832,PROPERTY APPRAISER 2-16, 	1.00 ," 	76,816 "
7161,MUNI CLK 2-20, 	1.00 ," 	54,366 "
2222,ASSESS TECH 2-16, 	1.00 ," 	59,229 "
3433,PROPERTY APPRAISER 2-16, 	1.00 ," 	79,715 "
1931,ASSESS TECH 2-16, 	1.00 ," 	57,553 "
10231,ADMIN CLK 1-20, 	1.00 ," 	46,856 "
2825,ACCT CLERK 3-20, 	1.00 ," 	60,732 "
1780,PROP LISTER 3-20, 	1.00 ," 	60,682 "
3930,DIGITAL MEDIA SUPERVISOR-18, 	1.00 ," 	83,425 "
VACANT,VACANT,VACANT,VACANT
VACANT,VACANT,VACANT,VACANT
7876,ADMIN SUPPORT CLK 1-20, 	1.00 ," 	42,352 "
VACANT,VACANT,VACANT,VACANT
2824,DOC SERVS LDWKR-17, 	1.00 ," 	64,563 "
9186,BUYER 2-16, 	1.00 ," 	67,149 "
2142,ACCT SERVICES MGR-18, 	1.00 ," 	124,738 "
1952,ACCT CLERK 3-20, 	1.00 ," 	59,648 "
3333,ADMIN ANAL 4-18, 	1.00 ," 	97,054 "
11809,ADMIN SUPPORT CLK 1-20, 	1.00 ," 	42,352 "
12613,ACCOUNTANT 1-18, 	1.00 ," 	61,198 "
2693,FINANCE DIR-21, 	1.00 ," 	169,419 "
1264,ACCT TECH 3-20, 	1.00 ," 	55,664 "
2352,ACCT TECH 3-20, 	1.00 ," 	66,614 "
2046,ACCOUNTANT 3-18, 	1.00 ," 	85,878 "
8181,ADMIN ANAL 3-18, 	1.00 ," 	79,611 "
2847,PRINCIPAL ACCOUNTANT, 	1.00 ," 	110,411 "
2288,RISK MANAGER-18, 	1.00 ," 	110,442 "
3406,ADMIN SUPPORT CLK 2-20, 	1.00 ," 	54,422 "
2177,PRINCIPAL ACCOUNTANT, 	1.00 ," 	107,400 "
7560,ACCOUNTANT 2-18, 	1.00 ," 	75,841 "
6955,BUYER 2-16, 	1.00 ," 	71,807 "
4069,ACCOUNTANT 3-18, 	1.00 ," 	85,045 "
2659,DOC SERVS SPEC 2-17, 	1.00 ," 	58,572 "
-,-,-,-
1012,ACCT CLERK 3-20, 	1.00 ," 	60,732 "
10445,ACCOUNTANT 2-18, 	1.00 ," 	69,376 "
7647,BUDGET/PROG EVAL MGR-18, 	1.00 ," 	115,498 "
2243,PRINCIPAL ACCOUNTANT, 	1.00 ," 	106,396 "
10491,ADMIN ANAL 2-18, 	1.00 ," 	69,376 "
2860,ACCT TECH 2-20, 	1.00 ," 	63,815 "
10787,IT SPEC 3-18, 	1.00 ," 	72,495 "
VACANT,VACANT,VACANT,VACANT
11413,IT SPEC 3-18, 	1.00 ," 	75,841 "
10765,IT SPEC 1-18, 	1.00 ," 	57,346 "
1461,IT SPEC 3-18, 	1.00 ," 	92,549 "
2919,IT SPEC 3-18, 	1.00 ," 	88,380 "
2102,IT SPEC 3-18, 	1.00 ," 	93,382 "
3443,IT SPEC 2-18, 	1.00 ," 	84,184 "
5018,IT ADMIN SERVS MGR-18, 	1.00 ," 	65,189 "
10101,IT SPEC 3-18, 	1.00 ," 	75,841 "
9715,IT TECH SERVS MGR-18, 	1.00 ," 	110,340 "
3631,IT SPEC 3-18, 	1.00 ," 	89,214 "
8045,IT SPEC 2-18, 	1.00 ," 	75,841 "
1650,PRINC IT SPEC-18, 	1.00 ," 	108,404 "
9955,IT SPEC 1-18, 	1.00 ," 	61,198 "
1885,PRINC IT SPEC-18, 	1.00 ," 	108,404 "
11412,IT SPEC 3-18, 	1.00 ," 	72,495 "
2589,IT SPEC 3-18, 	1.00 ," 	93,382 "
3802,PRINC IT SPEC-18, 	1.00 ," 	106,396 "
1183,IT SPEC 3-18, 	1.00 ," 	90,881 "
3596,IT APP DEV MGR-18, 	1.00 ," 	123,581 "
1754,IT SPEC 2-18, 	1.00 ," 	84,942 "
3907,IT SPEC 2-18, 	1.00 ," 	77,358 "
3336,IT SPEC 2-18, 	1.00 ," 	78,116 "
3957,IT SPEC 4-18, 	1.00 ," 	97,054 "
2684,IT SPEC 3-18, 	1.00 ," 	91,715 "
3102,IT DIRECTOR-21, 	1.00 ," 	139,388 "
1894,IT SPEC 3-18, 	1.00 ," 	88,380 "
3172,IT SPEC 3-18, 	1.00 ," 	90,047 "
VACANT,VACANT,VACANT,VACANT
12498,IT SPEC 1-18, 	1.00 ," 	58,921 "
1818,IT SPEC 2-18, 	1.00 ," 	78,116 "
7985,IT SPEC 1-18, 	2.00 ," 	61,198 "
1795,SENIOR CTR DIR-18, 	1.00 ," 	91,715 "
2489,CUSTODIAL WKR 2-16, 	1.00 ," 	56,688 "
6435,S.C. VOLUNTEER COORD-20, 	1.00 ," 	57,334 "
7791,SR CTR PROG COORD-18, 	1.00 ," 	63,911 "
3936,PROGRAM ASST 2-20, 	1.00 ," 	61,787 "
2432,PROGRAM ASST 1-17, 	1.00 ," 	57,582 "
11555,HRA 1-18, 	1.00 ," 	63,911 "
3210,EE & LABOR MGR-18, 	1.00 ," 	118,963 "
1220,HRA 1-18, 	1.00 ," 	63,034 "
1186,HRA 3-18, 	1.00 ," 	88,380 "
3919,EAP PROG MGR-18, 	1.00 ," 	112,545 "
1718,ORGAN DEV/TRAIN OFF-18, 	1.00 ," 	100,716 "
1565,HRA 3-18, 	1.00 ," 	85,878 "
3403,HR SERVS MGR-18, 	1.00 ," 	122,428 "
11954,HRA 2-18, 	1.00 ," 	63,911 "
12660,SAFETY COORDINATOR-18, 	1.00 ," 	61,198 "
9151,PROGRAM ASST 1-20, 	1.00 ," 	52,783 "
3339,OCC/ACC SPEC 3-18, 	1.00 ," 	93,382 "
2514,HUMAN RESOURCE DIR-21, 	1.00 ," 	141,453 "
3285,ORGAN DEV/TRAIN OFF-18, 	1.00 ," 	97,054 "
1657,HRA 2-18, 	1.00 ," 	79,633 "
3122,LABOR RELATIONS SPEC-18, 	1.00 ," 	101,632 "
2164,JUD SUPPORT CLK 1-20, 	1.00 ," 	56,990 "
2438,MUNI JUDGE-19, 	1.00 ," 	105,197 "
1732,JUD SUPPORT CLK 2-20, 	1.00 ," 	60,190 "
1988,JUD SUPPORT CLK 3-20, 	1.00 ," 	63,545 "
11638,EO INV/CONC 1-18, 	1.00 ," 	61,198 "
1398,HEARING EXAM-EOC-23, 	1.00 ," 	155,551 "
10404,ADMIN CLK 1-20, 	1.00 ," 	45,663 "
9067,EQ OPPT MGR-18, 	1.00 ," 	105,183 "
3316,EO INV/CONC 3-18, 	1.00 ," 	78,116 "
4107,EO INV/CONC 1-18, 	1.00 ," 	70,941 "
1155,PROGRAM ASST 1-20, 	1.00 ," 	60,190 "
9116,PROGRAM ASST 2-20, 	1.00 ," 	54,225 "
VACANT,VACANT,VACANT,VACANT
11559,HSG MAINT WKR-16, 	1.00 ," 	51,534 "
11405,HSG MAINT WKR-16, 	1.00 ," 	51,534 "
3640,SECTION 8 INSPECTOR-16, 	1.00 ," 	57,692 "
10576,HSG MAINT WKR-16, 	1.00 ," 	51,534 "
1771,PAINTER-71, 	1.00 ," 	61,012 "
2127,HSG SITE MGR-18, 	1.00 ," 	84,184 "
3238,PROGRAM ASST 2-17, 	1.00 ," 	61,476 "
11794,HSG MAINT WKR-16, 	1.00 ," 	49,921 "
7537,MAINT MECH 2-16, 	1.00 ," 	64,772 "
3292,HSG SITE MGR-18, 	1.00 ," 	79,633 "
1403,HSG SPEC 3, 	1.00 ," 	64,986 "
1413,HSG OPER ANALYST-18, 	1.00 ," 	81,908 "
3107,HSG SITE MGR-18, 	1.00 ," 	65,828 "
7345,ACCT TECH 2-20, 	1.00 ," 	58,965 "
1244,HSG SPEC 2, 	1.00 ," 	62,399 "
8182,HSG MAINT WKR-16, 	1.00 ," 	54,427 "
2120,HSG OPER PROG MGR-18, 	1.00 ," 	116,960 "
2157,PROGRAM ASST 1-20, 	1.00 ," 	59,648 "
-,-,-,-
7168,MAINT MECH 2-16, 	1.00 ," 	60,303 "
1827,PROGRAM ASST 2-20, 	1.00 ," 	57,334 "
VACANT,VACANT,VACANT,VACANT
2595,HSG MAINT WKR-16, 	1.00 ," 	57,553 "
2316,ADMIN CLK 1-20, 	1.00 ," 	56,990 "
9028,PROGRAM ASST 2-17, 	1.00 ," 	54,312 "
7358,INFORMATION CLERK-20, 	1.00 ," 	45,663 "
3984,INFORMATION CLERK-20 PT, 	0.75 ," 	37,409 "
3872,SSMO 2-15, 	1.00 ," 	56,187 "
3898,ENGINEER 4-18, 	1.00 ," 	97,054 "
VACANT,VACANT,VACANT,VACANT
1634,PROGRAM ASST 1-20, 	1.00 ," 	52,615 "
9210,ENGINEER 3-18, 	1.00 ," 	83,377 "
3266,PUB WKS GEN SUPV-18, 	1.00 ," 	90,881 "
2034,CONSTRUCT INSP 1-15, 	1.00 ," 	66,683 "
11288,ENGR PROG SPEC 1-16, 	1.00 ," 	62,659 "
8550,SSMO 1-15, 	1.00 ," 	50,429 "
3364,PRINCIPAL ENGR 1-18, 	1.00 ," 	114,649 "
3295,ENGINEER 4-18, 	1.00 ," 	97,054 "
7580,SSMO 2-15, 	1.00 ," 	54,550 "
1577,ENGR PROG SPEC 2-16, 	1.00 ," 	84,641 "
2178,HYDROGEOLOGIST 3-18 PT, 	0.60 ," 	53,028 "
3777,COMP MAP/GIS COORD-18, 	1.00 ," 	107,262 "
2442,S/D MAINT TECH 1, 	1.00 ," 	64,958 "
3262,PRINICPAL ENGR 2-18, 	1.00 ," 	123,581 "
3051,PRINCIPAL ENGR 1-18, 	1.00 ," 	116,753 "
2938,ENGR OPR LDWKR 2-15, 	1.00 ," 	64,796 "
1608,CONSTRUCT INSP 2-15, 	1.00 ," 	76,476 "
1364,S/D MAINT TECH 1, 	1.00 ," 	64,958 "
7629,SSMO 3-15, 	1.00 ," 	57,998 "
2910,SSMO 1-15, 	1.00 ," 	54,415 "
3971,PW DEV MGR 2-18, 	1.00 ," 	98,885 "
2653,PRINCIPAL ENGR 1-18, 	1.00 ," 	116,753 "
11853,ENGINEER 1-18, 	1.00 ," 	66,487 "
9152,ENGINEER 2-18, 	1.00 ," 	66,487 "
1368,CIVIL TECH 2-16, 	1.00 ," 	64,782 "
2067,ACCOUNTANT 3-18, 	1.00 ," 	85,045 "
1725,PROGRAM ASST 1-20, 	1.00 ," 	60,732 "
5900,ENGINEER 2-18, 	1.00 ," 	72,495 "
3392,SIDEWALK PROG SUPERV-18, 	1.00 ," 	83,592 "
9185,PROGRAM ASST 1-20, 	1.00 ," 	52,783 "
2216,ENGR OPR LDWKR 1-15, 	1.00 ," 	62,638 "
4697,ENGR OPER MAINT WKR-15, 	1.00 ," 	59,738 "
3250,SURVEYOR 2-18, 	1.00 ," 	77,358 "
10779,SSMW 1-15, 	1.00 ," 	45,155 "
3073,ENGR OPER CLK-15, 	1.00 ," 	64,378 "
4711,ENGR OPR LDWKR 1-15, 	1.00 ," 	59,738 "
2734,ENGR FINANCIAL MGR, 	1.00 ," 	108,404 "
7346,CONSTRUCT INSP 1-15, 	1.00 ," 	57,230 "
5741,CONSTRUCT INSP 1-15, 	1.00 ," 	62,908 "
3807,ENGR OPER LDWKR-15, 	1.00 ," 	70,680 "
2621,MAINT MECH 1-15, 	1.00 ," 	66,863 "
8814,PUB WKS GEN FORE-18, 	1.00 ," 	63,911 "
2071,ENGINEER 3-18, 	1.00 ," 	85,878 "
6720,SSMW 1-15, 	1.00 ," 	45,155 "
2429,ENGR CITY-21, 	1.00 ," 	170,920 "
3717,PW DEV MGR 2-18, 	1.00 ," 	93,391 "
