Employee #,Filled Position Description,Filled FTE Percent,Current Salary
3022,LIBRARIAN 2, 	1.00 ," 	75,208 "
3254,MAINT MECH 1, 	1.00 ," 	64,758 "
2116,LIBRARY ASST 1, 	1.00 ," 	56,934 "
1639,CLERK 2, 	0.80 ," 	39,899 "
2239,ADMIN CLK 1, 	1.00 ," 	54,339 "
2565,CLERK 2, 	1.00 ," 	50,323 "
1745,CLERK 2, 	0.65 ," 	32,726 "
4154,LIBRARY ASST 1, 	0.60 ," 	26,959 "
1567,CLERK 2, 	1.00 ," 	50,323 "
3867,LIBRARIAN 2, 	0.60 ," 	42,707 "
6256,LIBRARY ASST 1, 	0.65 ," 	33,059 "
2426,ADMIN CLK 1, 	1.00 ," 	55,326 "
2181,LIBRARIAN 2, 	1.00 ," 	74,536 "
3674,LIB ASSOC DIR, 	1.00 ," 	102,075 "
2322,LIBRARIAN 1-33, 	1.00 ," 	63,304 "
9194,LIBRARY ASST 1, 	1.00 ," 	47,702 "
3379,PROGRAM ASST 1, 	1.00 ," 	58,926 "
3956,LIBRARIAN 2, 	1.00 ," 	71,179 "
4088,LIBRARY ASST 1, 	1.00 ," 	47,702 "
2797,CUSTODIAL WORKER 3, 	1.00 ," 	57,764 "
2993,CLERK-TYP 2, 	0.70 ," 	33,370 "
3676,LIBRARIAN 1, 	1.00 ," 	60,453 "
10574,MKTG/COMMUN SPEC, 	1.00 ," 	57,067 "
3061,PROG ASST 1-32, 	1.00 ," 	55,408 "
3925,LIBRARIAN 1-33, 	1.00 ," 	56,860 "
3993,ADMIN CLK 1, 	0.70 ," 	38,072 "
9124,LIBRARIAN 1-33, 	1.00 ," 	55,505 "
7874,CLERK-TYP 1-32 PT, 	0.60 ," 	21,270 "
VACANT,VACANT,VACANT,VACANT
VACANT,VACANT,VACANT,VACANT
3749,PROG ASST 1, 	1.00 ," 	58,544 "
3257,PLAN DEVELOP DIR OF, 	1.00 ," 	152,525 "
10235,COM DEV TECH 2, 	1.00 ," 	55,445 "
1036,ADMIN CLK 1, 	1.00 ," 	53,704 "
VACANT,VACANT,VACANT,VACANT
10372,COM DEV SPEC 2-18, 	1.00 ," 	70,213 "
VACANT,VACANT,VACANT,VACANT
1005,WORD PROC OPR 2, 	1.00 ," 	53,363 "
2156,GRAPHICS TECH, 	0.75 ," 	39,515 "
10319,CLERK-TYPT 1-20 PT, 	0.60 ," 	22,421 "
VACANT,VACANT,VACANT,VACANT
2226,WORD PROC OPR 2-20, 	1.00 ," 	51,218 "
7837,PROGRAM ASST 2-17, 	1.00 ," 	51,106 "
3442,PLANNER-PRINCIPAL, 	1.00 ," 	104,928 "
1958,PROGRAM ASST 1, 	1.00 ," 	58,821 "
4046,ADMIN CLK 1, 	1.00 ," 	55,693 "
1743,BUSINESS DEV SPEC 2, 	1.00 ," 	75,657 "
3618,PLAN TECH-20, 	1.00 ," 	73,911 "
10663,PLANNER 3, 	1.00 ," 	77,105 "
3770,GIS SPECIALIST, 	1.00 ," 	74,923 "
5713,PLANNER 2, 	1.00 ," 	73,454 "
1046,PLANNER 3, 	1.00 ," 	87,213 "
1151,PLANNING DIV DIR, 	1.00 ," 	118,506 "
10647,PLANNER 1-18, 	1.00 ," 	59,271 "
9123,PLANNER 1-18, 	1.00 ," 	64,394 "
4020,PLANNER 3, 	1.00 ," 	83,175 "
1549,PLANNER 2-18, 	1.00 ," 	79,330 "
4023,MAD ARTS PROG ADMIN, 	1.00 ," 	85,598 "
2802,PLANNER 4, 	1.00 ," 	99,319 "
2433,PROGRAM ASST 2, 	1.00 ," 	60,382 "
1607,PLANNER 4, 	1.00 ," 	95,772 "
3455,PLANNER-PRINCIPAL, 	1.00 ," 	107,984 "
5362,CODE ENFORC OFF 3-16, 	1.00 ," 	73,193 "
3278,CODE ENFORC OFF 3, 	1.00 ," 	72,293 "
1887,CODE ENFORC OFF 3, 	1.00 ," 	72,293 "
1892,BLDG INSPECT DIV DIR, 	1.00 ," 	130,261 "
2318,CUSTODIAL WKR 2, 	1.00 ," 	55,902 "
4111,ARCHITECT 4, 	1.00 ," 	103,414 "
2901,ZONING ADMIN, 	1.00 ," 	103,047 "
2345,CODE ENFORC OFF 3, 	1.00 ," 	75,389 "
7677,ELEC/HEAT INSPECTOR, 	1.00 ," 	70,187 "
10911,PROPERTY CODE INSP 1, 	1.00 ," 	48,350 "
3853,ADMIN CLK 1, 	1.00 ," 	55,196 "
VACANT,VACANT,VACANT,VACANT
1142,ENGINEER 3, 	1.00 ," 	88,020 "
2971,ELEC/HEAT INSPECTOR, 	1.00 ," 	81,977 "
1649,HSG INSPECTION SUPV, 	1.00 ," 	91,338 "
2133,CODE ENFORC OFF 3, 	1.00 ," 	81,245 "
2104,MAINT MECH 2, 	1.00 ," 	70,261 "
1123,CUSTODIAL SERV, 	1.00 ," 	55,877 "
11175,INFORMATION CLERK, 	1.00 ," 	42,046 "
VACANT,VACANT,VACANT,VACANT
2793,ELEC/HEAT INSPECTOR, 	1.00 ," 	77,585 "
3178,CUSTODIAL WKR 2, 	1.00 ," 	53,905 "
7978,CODE ENFC OFF 2-16, 	1.00 ," 	58,515 "
10674,PROGRAM ASST 3, 	1.00 ," 	51,106 "
1252,ADMIN CLK 1, 	1.00 ," 	54,201 "
1299,ZONING CODE OFF 2, 	1.00 ," 	70,239 "
VACANT,VACANT,VACANT,VACANT
7590,PLUMB/HEAT INSPECTOR, 	1.00 ," 	70,187 "
2172,ZONING CODE OFF 2, 	1.00 ," 	70,055 "
2663,CUSTODIAL WKR 1-16, 	1.00 ," 	44,491 "
9207,ELEC/HEAT INSPECTOR, 	1.00 ," 	67,521 "
2220,CODE ENFORC OFF 3, 	1.00 ," 	81,977 "
8537,MAINT MECH 1-16, 	1.00 ," 	55,660 "
3887,ADMIN CLK 1, 	1.00 ," 	54,201 "
1824,INFORMATION CLERK, 	1.00 ," 	48,329 "
4152,PLAN REVIEW SPEC 1-16, 	1.00 ," 	60,507 "
7645,WGTS MEASURE INSP 3, 	1.00 ," 	60,687 "
3728,ELECTRICIAN, 	1.00 ," 	75,898 "
1700,PLAN REV & INSP SUPV, 	1.00 ," 	114,097 "
VACANT,VACANT,VACANT,VACANT
9070,CUSTODIAL WKR 1-16, 	1.00 ," 	41,260 "
2681,PLAN REVIEW SPEC 4, 	1.00 ," 	85,338 "
2130,PROPERTY CODE INSP 1, 	1.00 ," 	60,611 "
3981,ZONING ADMIN ASST, 	1.00 ," 	77,585 "
2049,CODE ENFC OFF 2-16, 	1.00 ," 	72,840 "
10373,CODE ENFC OFF 1-16, 	1.00 ," 	54,117 "
2719,PLUMB/HEAT INSPECTOR, 	1.00 ," 	75,389 "
2307,PLUMB/HEAT INSPECTOR, 	1.00 ," 	75,389 "
2576,HSG REHAB SPEC, 	1.00 ," 	82,268 "
5999,REAL ESTATE AGENT 2, 	1.00 ," 	73,454 "
3932,REAL ESTATE AGENT 3-18 PT, 	1.00 ," 	90,443 "
2779,PROGRAM ASST 2, 	1.00 ," 	57,376 "
7648,REAL ESTATE AGENT 3, 	1.00 ," 	77,105 "
2240,REAL ESTATE SUPERV, 	1.00 ," 	100,131 "
3882,REAL ESTATE AGENT 4, 	1.00 ," 	91,338 "
3651,BUSINESS DEV SPEC-18, 	1.00 ," 	91,338 "
1713,HSG REHAB SPEC, 	1.00 ," 	81,534 "
1562,ACCT CLERK 3, 	1.00 ," 	58,821 "
2913,CERT MUNI CLK, 	1.00 ," 	54,094 "
3548,ASSESS SERVS SUPV, 	1.00 ," 	82,268 "
2180,PROPERTY APPRAISER 4, 	1.00 ," 	88,895 "
2439,CERT MUNI CLK, 	1.00 ," 	54,094 "
2579,PROPERTY APPRAISER 3, 	1.00 ," 	83,052 "
6756,MUNI CLK 2-20, 	1.00 ," 	51,121 "
10501,PROPERTY APPRAISER 4, 	1.00 ," 	70,187 "
9593,PROP LISTER 1-20, 	1.00 ," 	45,381 "
2315,CITY ASSESSOR, 	1.00 ," 	125,222 "
3220,PROGRAM ASST 1, 	1.00 ," 	54,094 "
2645,FIN OPER LDWKR, 	1.00 ," 	60,382 "
1154,PROPERTY APPRAISER 2, 	1.00 ," 	78,610 "
3550,ASSESS TECH 2-16, 	1.00 ," 	60,611 "
1753,PROPERTY APPRAISER 3, 	1.00 ," 	85,338 "
6275,ASST CITY ASSES, 	1.00 ," 	92,755 "
1815,PROPERTY APPRAISER 4, 	1.00 ," 	88,101 "
4143,PROPERTY APPRAISER 2, 	1.00 ," 	77,908 "
7879,ADMIN CLK 1, 	1.00 ," 	48,075 "
9231,PROPERTY APPRAISER 1-16, 	1.00 ," 	56,703 "
1523,PROPERTY APPRAISER 2, 	1.00 ," 	69,546 "
3258,CERT MUNI CLK, 	1.00 ," 	55,670 "
3025,ADMIN CLK 1, 	1.00 ," 	55,693 "
2832,PROPERTY APPRAISER 2, 	1.00 ," 	74,398 "
7161,MUNI CLK 2-20, 	1.00 ," 	51,121 "
2222,ASSESS TECH 2, 	1.00 ," 	57,365 "
3433,PROPERTY APPRAISER 2, 	1.00 ," 	77,206 "
1931,ASSESS TECH 2-16, 	1.00 ," 	55,741 "
1553,ADMIN CLK 1, 	1.00 ," 	54,201 "
2825,ACCT CLERK 3, 	1.00 ," 	58,821 "
1780,PROP LISTER 3, 	1.00 ," 	58,772 "
3930,MEDIA TEAM LDWKR, 	1.00 ," 	70,889 "
VACANT,VACANT,VACANT,VACANT
2144,DOC SERVS SPEC 2, 	1.00 ," 	56,728 "
1247,ADMIN SUPPORT CLK 2, 	1.00 ," 	55,693 "
10742,COMP OFF ADMIN SERVS SUPV-18, 	1.00 ," 	80,753 "
2824,DOC SERVS LDWKR, 	1.00 ," 	62,531 "
9186,BUYER 2, 	1.00 ," 	62,733 "
2142,ACCT SERVICES MGR, 	1.00 ," 	120,812 "
1952,ACCT CLERK 3, 	1.00 ," 	57,770 "
3333,ADMIN ANAL 4, 	1.00 ," 	93,999 "
9151,PROGRAM ASST 1, 	1.00 ," 	49,726 "
VACANT,VACANT,VACANT,VACANT
2693,FINANCE DIR, 	1.00 ," 	164,086 "
2854,ACCT TECH 3, 	1.00 ," 	67,179 "
2352,ACCT TECH 3, 	1.00 ," 	64,517 "
2046,ACCOUNTANT 3-18, 	1.00 ," 	83,175 "
8181,ADMIN ANAL 1-18, 	1.00 ," 	67,192 "
2847,ACCOUNTANT 4-18, 	1.00 ," 	106,936 "
2288,RISK MANAGER, 	1.00 ," 	106,966 "
3406,ADMIN SUPPORT CLK 2, 	1.00 ," 	52,709 "
2177,ACCOUNTANT 4-18, 	1.00 ," 	104,020 "
7560,ACCOUNTANT 2, 	1.00 ," 	70,213 "
6955,BUYER 2, 	1.00 ," 	65,036 "
4069,ACCOUNTANT 2, 	1.00 ," 	74,923 "
2659,DOC SERVS SPEC 2, 	1.00 ," 	56,728 "
-,-,-,-
1012,ACCT CLERK 2, 	1.00 ," 	55,693 "
10445,ACCOUNTANT 1-18, 	1.00 ," 	59,271 "
7647,BUDGET/PROG EVAL MGR, 	1.00 ," 	111,863 "
2243,PRINCIPAL ACCOUNTANT, 	1.00 ," 	103,047 "
10491,ADMIN ANAL 2-18, 	1.00 ," 	64,394 "
2860,ACCT TECH 2, 	1.00 ," 	61,240 "
10787,IT SPEC 3-18, 	1.00 ," 	67,192 "
1650,IT SPEC 4, 	1.00 ," 	95,772 "
10717,IT SPEC 3-18, 	1.00 ," 	80,753 "
10765,IT SPEC 1-18, 	1.00 ," 	53,677 "
1461,IT SPEC 3, 	1.00 ," 	88,828 "
VACANT,VACANT,VACANT,VACANT
2102,IT SPEC 3, 	1.00 ," 	90,443 "
3443,IT SPEC 2, 	1.00 ," 	80,799 "
5018,IT ADMIN SERVS MGR, 	1.00 ," 	57,067 "
10101,IT SPEC 3-18, 	1.00 ," 	70,213 "
9715,IT TECH SERVS MGR, 	1.00 ," 	101,872 "
3631,IT SPEC 3-18, 	1.00 ," 	86,405 "
8045,IT SPEC 2-18, 	1.00 ," 	73,454 "
3102,PRINCIPAL IT SPEC, 	1.00 ," 	108,880 "
9955,IT SPEC 1-18, 	1.00 ," 	55,540 "
1171,PRINCIPAL IT SPEC, 	1.00 ," 	108,880 "
VACANT,VACANT,VACANT,VACANT
2589,IT SPEC 3, 	1.00 ," 	90,443 "
3802,PRINCIPAL IT SPEC, 	1.00 ," 	103,047 "
1183,MGT INFO SPEC 3-18, 	1.00 ," 	87,213 "
3596,IT APP DEV MGR, 	1.00 ," 	119,691 "
1754,IT SPEC 2, 	1.00 ," 	81,534 "
3907,IT SPEC 2, 	1.00 ," 	74,923 "
3336,IT SPEC 2, 	1.00 ," 	75,657 "
VACANT,VACANT,VACANT,VACANT
2684,IT SPEC 3, 	1.00 ," 	88,828 "
2588,IT DIRECTOR, 	1.00 ," 	134,658 "
1894,IT SPEC 3, 	1.00 ," 	85,598 "
3172,IT SPEC 3, 	1.00 ," 	85,598 "
1885,IT SPEC 4, 	1.00 ," 	95,772 "
2919,IT SPEC 2, 	1.00 ," 	77,861 "
1818,IT SPEC 2, 	1.00 ," 	75,657 "
7985,IT SPEC 1-18, 	1.00 ," 	55,540 "
2418,SENIOR CTR DIR, 	1.00 ," 	99,319 "
2489,CUSTODIAL WKR 2, 	1.00 ," 	54,404 "
6435,S.C. VOLUNTEER COORD, 	1.00 ," 	52,518 "
7791,SR CTR PROG COORD, 	1.00 ," 	59,271 "
3936,PROGRAM ASST 2, 	1.00 ," 	59,304 "
2432,PROGRAM ASST 1, 	1.00 ," 	55,769 "
VACANT,VACANT,VACANT,VACANT
3210,EE & LABOR MGR, 	1.00 ," 	115,218 "
3445,HRA 3, 	1.00 ," 	82,368 "
1186,HRA 3, 	1.00 ," 	83,175 "
3919,EAP PROG ADMIN, 	1.00 ," 	94,885 "
1718,ORGAN DEV/TRAIN OFF, 	1.00 ," 	96,659 "
1565,HRA 3, 	1.00 ," 	83,175 "
3403,HR SERVS MGR, 	1.00 ," 	118,574 "
VACANT,VACANT,VACANT,VACANT
10500,SAFETY COORDINATOR, 	1.00 ," 	70,213 "
1220,PROGRAM ASST 1, 	1.00 ," 	52,655 "
3339,OCCUP/ACCOM SPEC 3, 	1.00 ," 	90,443 "
2514,HUMAN RESOURCE DIR, 	1.00 ," 	137,000 "
3285,ORGAN DEV/TRAIN OFF, 	1.00 ," 	91,338 "
1657,HRA 1-18, 	1.00 ," 	66,326 "
VACANT,VACANT,VACANT,VACANT
2164,JUD SUPPORT CLK 1, 	1.00 ," 	54,698 "
2438,MUNI JUDGE, 	1.00 ," 	103,115 "
1732,JUD SUPPORT CLK 2, 	1.00 ," 	58,295 "
1988,JUD SUPPORT CLK 3, 	1.00 ," 	61,544 "
VACANT,VACANT,VACANT,VACANT
1398,HEARING EXAM-EOC, 	1.00 ," 	150,655 "
7464,ADMIN CLK 1, 	1.00 ," 	45,381 "
9067,EQ OPPT MGR-18, 	1.00 ," 	88,678 "
3316,EO INV/CONC 2, 	1.00 ," 	66,326 "
VACANT,VACANT,VACANT,VACANT
1155,PROGRAM ASST 1, 	1.00 ," 	58,295 "
9116,PROGRAM ASST 2, 	1.00 ," 	51,121 "
3352,HSG MOD GRTS MGR, 	1.00 ," 	82,268 "
2151,HSG MAINT WKR, 	1.00 ," 	58,988 "
VACANT,VACANT,VACANT,VACANT
3640,SECTION 8 INSPECTOR, 	1.00 ," 	55,877 "
10576,HSG MAINT WKR, 	1.00 ," 	48,350 "
1771,PAINTER, 	1.00 ," 	59,091 "
2127,HSG SITE MGR, 	1.00 ," 	81,534 "
3238,PROGRAM ASST 2, 	1.00 ," 	59,000 "
2970,HSG MAINT WKR, 	1.00 ," 	60,070 "
7537,MAINT MECH 2, 	1.00 ," 	60,687 "
3292,HSG SITE MGR, 	1.00 ," 	74,923 "
1403,HSG SPEC 3, 	1.00 ," 	62,941 "
1413,HSG OPER ANALYST, 	1.00 ," 	78,595 "
1795,HSG SITE MGR, 	1.00 ," 	80,064 "
7345,ACCT TECH 2, 	1.00 ," 	53,912 "
1244,HSG SPEC 2, 	1.00 ," 	60,435 "
8182,HSG MAINT WKR, 	1.00 ," 	51,312 "
2120,HSG OPER PROG MGR, 	1.00 ," 	107,984 "
2157,PROGRAM ASST 1, 	1.00 ," 	57,245 "
-,-,-,-
7168,MAINT MECH 1-16, 	1.00 ," 	55,445 "
1827,PROGRAM ASST 2, 	0.80 ," 	44,424 "
VACANT,VACANT,VACANT,VACANT
2595,HSG MAINT WKR, 	1.00 ," 	55,741 "
2316,ADMIN CLK 1, 	1.00 ," 	55,196 "
9028,PROGRAM ASST 2, 	1.00 ," 	51,106 "
7358,INFORMATION CLERK, 	1.00 ," 	42,943 "
3984,INFORMATION CLERK, 	0.75 ," 	36,231 "
3872,SSMO 1-15, 	1.00 ," 	54,418 "
3898,ENGINEER 4, 	1.00 ," 	91,338 "
3361,ENGINEER 4, 	1.00 ," 	98,433 "
7808,PROGRAM ASST 1-17, 	1.00 ," 	49,604 "
9210,ENGINEER 3, 	1.00 ," 	80,753 "
3266,PUB WKS GEN SUPV, 	1.00 ," 	88,020 "
2034,CONSTRUCT INSP 1, 	1.00 ," 	64,584 "
VACANT,VACANT,VACANT,VACANT
8550,SSMO 1-15, 	1.00 ," 	45,217 "
3364,PRINCIPAL ENGR 1-18, 	1.00 ," 	111,040 "
3295,ENGINEER 4, 	1.00 ," 	93,999 "
7580,STR SEWER MACH OPR 2, 	1.00 ," 	50,491 "
1577,ENGR PROG SPEC 2, 	1.00 ," 	81,977 "
2178,HYDROGEO 3, 	0.60 ," 	49,905 "
3777,COMP MAP/GIS COORD, 	1.00 ," 	103,886 "
2442,S/D MAINT TECH 1, 	1.00 ," 	62,914 "
3262,PRINCIPAL ENGR 2, 	1.00 ," 	119,691 "
3051,PRINCIPAL ENGR 1, 	1.00 ," 	113,078 "
2938,ENGR OPR LDWKR 2-15, 	1.00 ," 	62,756 "
1608,CONSTRUCT INSP 2, 	1.00 ," 	74,068 "
1364,S/D MAINT TECH 1, 	1.00 ," 	62,914 "
7629,STR SEWER MACH OPR 3, 	1.00 ," 	56,173 "
2910,SSMO 1-15, 	1.00 ," 	52,702 "
3971,PW DEV MGR 2, 	1.00 ," 	95,772 "
2653,PRINCIPAL ENGR 1, 	1.00 ," 	107,908 "
2048,ENGINEER 4, 	1.00 ," 	93,999 "
5900,ENGINEER 1-18, 	1.00 ," 	64,394 "
1368,CIVIL TECH 2, 	1.00 ," 	62,743 "
2067,ACCOUNTANT 3, 	1.00 ," 	82,368 "
1725,PROGRAM ASST 1, 	1.00 ," 	58,821 "
2619,ENGINEER 3, 	1.00 ," 	90,443 "
3392,SIDEWALK PROG SUPERV, 	1.00 ," 	80,960 "
9185,PROGRAM ASST 1, 	1.00 ," 	49,726 "
2216,SSMO 1-15, 	1.00 ," 	60,667 "
4697,ENGR OPER MAINT WKR, 	1.00 ," 	56,173 "
3250,SURVEYOR 2, 	1.00 ," 	74,923 "
VACANT,VACANT,VACANT,VACANT
3073,ENGR OPER CLK, 	1.00 ," 	62,352 "
VACANT,VACANT,VACANT,VACANT
2734,ENGR FINANCIAL MGR, 	1.00 ," 	104,020 "
7346,CONSTRUCT INSP 1-15, 	1.00 ," 	53,945 "
5741,CONSTRUCT INSP 1, 	1.00 ," 	57,570 "
3807,ENGR OPER LDWKR-15, 	1.00 ," 	67,188 "
2621,MAINT MECH 1, 	1.00 ," 	64,758 "
8814,PUB WKS GEN FORE, 	1.00 ," 	59,271 "
11156,ENGINEER 2-18, 	1.00 ," 	64,394 "
VACANT,VACANT,VACANT,VACANT
2429,ENGR CITY, 	1.00 ," 	166,012 "
3717,PW DEV MGR 1-18, 	1.00 ," 	82,368 "
1414,PRINCIPAL ENGR 2, 	1.00 ," 	112,210 "
5490,S/D MAINT TECH 1, 	1.00 ," 	56,173 "
3774,PUB WKS GEN FORE-18, 	1.00 ," 	77,234 "
VACANT,VACANT,VACANT,VACANT
2010,ENGR PROG SPEC 1, 	1.00 ," 	66,987 "
VACANT,VACANT,VACANT,VACANT
2606,PROGRAM ASST 2-20, 	1.00 ," 	55,530 "
1694,STR SEWER MACH OPR 3, 	1.00 ," 	62,352 "
1862,ENGR FIELD AIDE, 	1.00 ," 	62,352 "
1089,STR SEWER MACH OPR 3, 	1.00 ," 	62,352 "
1006,ASST CITY ENGINEER, 	1.00 ," 	124,168 "
1200,PROGRAM ASST 2, 	1.00 ," 	58,764 "
3219,S/D MAINT TECH 1, 	1.00 ," 	61,228 "
1744,STR SEWER MACH OPR 1, 	1.00 ," 	55,772 "
1993,CONSTRUCT INSP 2, 	1.00 ," 	72,746 "
3189,S/D MAINT TECH 1, 	1.00 ," 	62,352 "
1961,ENGR OPER LDWKR 2, 	1.00 ," 	64,584 "
3573,S/D MAINT TECH 1, 	1.00 ," 	62,352 "
3156,STR SEWER MACH OPR 1, 	1.00 ," 	56,795 "
1550,ASST CITY ENGINEER, 	1.00 ," 	124,168 "
3394,SURVEYOR 2, 	1.00 ," 	80,064 "
1923,IT SPEC 3, 	1.00 ," 	84,790 "
