Employee #,Filled Position Description,Filled FTE Percent,Current Salary
3504,ASST CITY ATTY,1," 	146,500 "
1713,HSG REHAB SPEC,1," 	80,726 "
1562,ACCT CLERK 3,1," 	58,238 "
2913,CERT MUNI CLK,1," 	53,558 "
3548,ASSESS SERVS SUPV,1," 	81,454 "
2180,PROPERTY APPRAISER 4,1," 	88,015 "
2439,CERT MUNI CLK,1," 	53,558 "
2579,PROPERTY APPRAISER 3,1," 	82,229 "
6756,MUNI CLK 2-20,1," 	50,615 "
10501,PROPERTY APPRAISER 4,1," 	66,852 "
9593,PROP LISTER 1-20,1," 	44,932 "
2315,CITY ASSESSOR,1," 	123,982 "
3220,PROGRAM ASST 1,1," 	53,558 "
2645,FIN OPER LDWKR,1," 	59,784 "
1154,PROPERTY APPRAISER 2,1," 	77,137 "
3550,ASSESS TECH 2-16,1," 	60,011 "
1753,PROPERTY APPRAISER 3,1," 	84,492 "
6275,ASST CITY ASSES,1," 	91,837 "
1815,PROPERTY APPRAISER 4,1," 	87,229 "
4143,PROPERTY APPRAISER 2,1," 	77,137 "
7879,ADMIN CLK 1,1," 	46,454 "
9231,PROPERTY APPRAISER 1-16,1," 	56,142 "
1523,PROPERTY APPRAISER 2,1," 	64,392 "
3258,CERT MUNI CLK,1," 	55,118 "
3025,ADMIN CLK 1,1," 	55,141 "
2832,PROPERTY APPRAISER 2,1," 	73,662 "
7161,MUNI CLK 2-20,1," 	50,615 "
2222,ASSESS TECH 2,1," 	56,796 "
3433,PROPERTY APPRAISER 2,1," 	75,747 "
1931,ASSESS TECH 2-16,1," 	53,758 "
1553,ADMIN CLK 1,1," 	53,664 "
2825,ACCT CLERK 3,1," 	58,238 "
1780,PROP LISTER 3,1," 	58,190 "
3930,MEDIA TEAM LDWKR,1," 	70,187 "
5018,PROGRAM ASST 2,1," 	53,593 "
2144,DOC SERVS SPEC 2,1," 	56,166 "
1247,ADMIN SUPPORT CLK 2,1," 	55,141 "
VACANT,VACANT,VACANT,VACANT
2824,DOC SERVS LDWKR,1," 	61,912 "
9186,BUYER 2,1," 	60,086 "
2142,ACCT SERVICES MGR,1," 	119,615 "
1952,ACCT CLERK 3,1," 	56,678 "
3333,ADMIN ANAL 4,1," 	93,068 "
9151,PROGRAM ASST 1,1," 	47,598 "
3407,ACCT CLERK 3,1," 	56,678 "
2693,FINANCE DIR,1," 	162,461 "
2854,ACCT TECH 3,1," 	67,179 "
2352,ACCT TECH 3,1," 	62,070 "
10622,ACCOUNTANT 1-18,1," 	56,502 "
8181,ADMIN ANAL 1-18,1," 	63,757 "
2847,ACCOUNTANT 4-18,1," 	105,877 "
2288,RISK MANAGER,1," 	105,907 "
3406,ADMIN SUPPORT CLK 2,1," 	52,187 "
2177,ACCOUNTANT 4-18,1," 	102,990 "
7560,ACCOUNTANT 2,1," 	66,527 "
6955,BUYER 2,1," 	64,392 "
4069,ACCOUNTANT 2,1," 	74,181 "
2659,DOC SERVS SPEC 2,1," 	56,166 "
VACANT,VACANT,VACANT,VACANT
1012,ACCT CLERK 2,1," 	55,141 "
10445,ACCOUNTANT 1-18,1," 	56,502 "
7647,BUDGET/PROG EVAL MGR,1," 	110,755 "
2243,PRINCIPAL ACCOUNTANT,1," 	102,027 "
10491,ADMIN ANAL 2-18,1," 	61,287 "
2860,ACCT TECH 2,1," 	60,633 "
10251,IT SPEC 1-18,1," 	56,502 "
1650,IT SPEC 4,1," 	93,068 "
VACANT,VACANT,VACANT,VACANT
3380,IT SPEC 2,1," 	81,454 "
1461,IT SPEC 3,1," 	87,948 "
2578,IT SPEC 3-18,1," 	89,547 "
2102,IT SPEC 3,1," 	89,547 "
3443,IT SPEC 2,1," 	79,999 "
VACANT,VACANT,VACANT,VACANT
10101,IT SPEC 3-18,1," 	69,518 "
9715,IT TECH SERVS MGR,1," 	100,863 "
3631,IT SPEC 3-18,1," 	83,951 "
8045,IT SPEC 1-18,1," 	66,527 "
3102,PRINCIPAL IT SPEC,1," 	106,840 "
9955,IT SPEC 1-18,1," 	53,146 "
1171,PRINCIPAL IT SPEC,1," 	107,802 "
9149,IT SPEC 1-18,1," 	54,991 "
2589,IT SPEC 3,1," 	89,547 "
3802,PRINCIPAL IT SPEC,1," 	102,027 "
1183,MGT INFO SPEC 3-18,1," 	86,349 "
3596,IT APP DEV MGR,1," 	118,506 "
1754,IT SPEC 2,1," 	80,726 "
3907,IT SPEC 2,1," 	74,181 "
3336,IT SPEC 2,1," 	72,726 "
2158,IT SPEC 4,1," 	90,434 "
2684,IT SPEC 3,1," 	87,149 "
2588,IT DIRECTOR,1," 	133,324 "
1894,IT SPEC 3,1," 	84,750 "
3172,IT SPEC 3,1," 	84,750 "
1885,IT SPEC 4,1," 	93,068 "
2919,IT SPEC 2,1," 	77,090 "
1818,IT SPEC 2,1," 	74,908 "
7985,IT SPEC 1-18,1," 	53,146 "
2418,SENIOR CTR DIR,1," 	98,336 "
2489,CUSTODIAL WKR 2,1," 	53,866 "
6435,S.C. VOLUNTEER COORD,1," 	51,998 "
7791,SR CTR PROG COORD,1," 	56,502 "
3936,PROGRAM ASST 2,1," 	58,716 "
2432,PROGRAM ASST 1,1," 	55,217 "
7581,HRA 2-18,1," 	72,726 "
3210,EE & LABOR MGR,1," 	114,078 "
3445,HRA 3,1," 	81,552 "
1186,HRA 3,1," 	82,352 "
3919,EAP PROG ADMIN,1," 	93,068 "
1718,ORGAN DEV/TRAIN OFF,1," 	95,702 "
1565,HRA 3,1," 	82,352 "
3403,HR SERVS MGR,1," 	114,078 "
3498,ADMIN ASST,1," 	63,457 "
10500,SAFETY COORDINATOR,1," 	66,527 "
1220,PROGRAM ASST 1,1," 	50,710 "
3339,OCCUP/ACCOM SPEC 3,1," 	88,748 "
1805,HUMAN RESOURCE DIR,1," 	135,908 "
3285,ORGAN DEV/TRAIN OFF,1," 	90,434 "
1657,HRA 1-18,1," 	63,125 "
2514,LABOR RELATIONS SPEC,1," 	93,068 "
2164,JUD SUPPORT CLK 1,1," 	54,157 "
2438,MUNI JUDGE,1," 	103,115 "
1732,JUD SUPPORT CLK 2,1," 	57,198 "
1988,JUD SUPPORT CLK 3,1," 	60,935 "
4151,EO INV/CONC 2,1," 	67,857 "
1398,HEARING EXAM-EOC,1," 	149,163 "
7464,ADMIN CLK 1,1," 	40,613 "
9067,EQ OPPT MGR,1," 	83,771 "
3316,EO INV/CONC 2,1," 	63,125 "
VACANT,VACANT,VACANT,VACANT
1155,PROGRAM ASST 1,1," 	57,718 "
9116,PROGRAM ASST 2,1," 	49,233 "
3352,HSG MOD GRTS MGR,1," 	81,454 "
2151,HSG MAINT WKR,1," 	57,868 "
6255,HSG MAINT WKR,1," 	52,192 "
3640,SECTION 8 INSPECTOR,1," 	55,323 "
7168,HSG MAINT WKR,1," 	52,192 "
1771,PAINTER,1," 	58,506 "
2127,HSG SITE MGR,1," 	80,726 "
3238,PROGRAM ASST 2,1," 	58,416 "
2970,HSG MAINT WKR,1," 	59,476 "
7537,MAINT MECH 2,1," 	57,936 "
3292,HSG SITE MGR,1," 	74,181 "
1403,HSG ASST CLK 2,1," 	59,250 "
1413,HSG OPER ANALYST,1," 	77,817 "
1795,HSG SITE MGR,1," 	79,272 "
7345,ACCT TECH 2,1," 	51,998 "
1244,HSG ASST CLERK,1," 	56,158 "
8182,HSG MAINT WKR,1," 	49,418 "
2120,HSG OPER PROG MGR,1," 	102,027 "
2157,PROGRAM ASST 1,1," 	56,678 "
VACANT,VACANT,VACANT,VACANT
4014,MAINT MECH 1-16,1," 	69,566 "
1827,PROGRAM ASST 2,0.8," 	43,984 "
VACANT,VACANT,VACANT,VACANT
2595,HSG MAINT WKR,1," 	55,189 "
2316,ADMIN CLK 1,1," 	54,157 "
9028,PROGRAM ASST 2,1," 	49,112 "
1522,INFORMATION CLERK,1," 	47,850 "
3984,INFORMATION CLERK,0.75," 	35,873 "
3872,SSMO 1-15,1," 	52,310 "
3898,ENGINEER 3-18,1," 	82,352 "
9210,ENGINEER 3-18,1," 	79,953 "
7808,PROGRAM ASST 1-17,1," 	47,353 "
3361,ENGINEER 3,1," 	88,748 "
3266,PUB WKS GEN SUPV,1," 	83,212 "
2034,CONSTRUCT INSP 1,1," 	63,944 "
VACANT,VACANT,VACANT,VACANT
8550,SSMW 1-15,1," 	39,003 "
1550,PRINCIPAL ENGR 2,1," 	117,447 "
3295,ENGINEER 4,1," 	93,068 "
7580,STR SEWER MACH OPR 2,1," 	48,358 "
1577,ENGR PROG SPEC 2,1," 	81,165 "
2178,HYDROGEO 3,0.6," 	49,411 "
3777,COMP MAP/GIS COORD,1," 	102,857 "
2442,S/D MAINT TECH 1,1," 	62,291 "
3262,PRINCIPAL ENGR 2,1," 	118,506 "
3051,PRINCIPAL ENGR 1,1," 	111,958 "
1695,ENGR OPER LDWKR-15,1," 	70,288 "
1608,CONSTRUCT INSP 2,1," 	73,335 "
1364,S/D MAINT TECH 1,1," 	62,291 "
7629,STR SEWER MACH OPR 3,1," 	55,617 "
2910,SSMO 1-15,1," 	52,180 "
3971,PW DEV MGR 2,1," 	93,946 "
1438,PRINCIPAL ENGR 1,1," 	102,881 "
2048,ENGINEER 4,1," 	93,068 "
5900,ENGINEER 1-18,1," 	61,287 "
1368,CIVIL TECH 2,1," 	62,122 "
2067,ACCOUNTANT 3,1," 	81,552 "
1725,PROGRAM ASST 1,1," 	58,238 "
2619,ENGINEER 3,1," 	89,547 "
3392,SIDEWALK PROG SUPERV,1," 	76,363 "
9185,PROGRAM ASST 1,1," 	47,598 "
2216,SSMO 1-15,1," 	60,066 "
4697,ENGR OPER MAINT WKR,1," 	53,419 "
3250,SURVEYOR 2,1," 	74,181 "
7716,SSMW 1-15,1," 	43,301 "
3073,ENGR OPER CLK,1," 	61,734 "
1961,SSMO 1-15,1," 	58,954 "
2734,ENGR FINANCIAL MGR,1," 	102,990 "
7346,CONSTRUCT INSP 1-15,1," 	53,411 "
5741,CONSTRUCT INSP 1,1," 	54,880 "
3807,ENGR OPER LDWKR-15,1," 	63,099 "
2621,MAINT MECH 1,1," 	64,117 "
4332,PUB WKS GEN FORE,1," 	66,527 "
2653,ENGINEER 4,1," 	97,458 "
2261,STR SEWER MACH OPR 1,1," 	56,233 "
2429,ENGR CITY,1," 	149,517 "
3717,PW DEV MGR 1-18,1," 	79,953 "
1414,PRINCIPAL ENGR 2,1," 	111,099 "
VACANT,VACANT,VACANT,VACANT
3774,PUB WKS GEN FORE-18,1," 	76,469 "
VACANT,VACANT,VACANT,VACANT
2010,ENGR PROG SPEC 1,1," 	66,324 "
VACANT,VACANT,VACANT,VACANT
2606,PROGRAM ASST 2-20,1," 	54,980 "
1694,STR SEWER MACH OPR 3,1," 	61,734 "
1862,ENGR FIELD AIDE,1," 	61,734 "
2938,STR SEWER MACH OPR 3,1," 	57,285 "
1006,ENGR OPER MGR,1," 	111,958 "
1200,PROGRAM ASST 2,1," 	58,183 "
3219,S/D MAINT TECH 1,1," 	60,622 "
1744,STR SEWER MACH OPR 1,1," 	55,220 "
1993,CONSTRUCT INSP 2,1," 	71,371 "
3189,S/D MAINT TECH 1,1," 	61,178 "
1089,SEWER REPAIR LDWKR-15,1," 	66,961 "
3573,S/D MAINT TECH 1,1," 	61,734 "
3156,STR SEWER MACH OPR 1,1," 	56,233 "
2994,ASST CITY ENGINEER,1," 	124,046 "
3394,SURVEYOR 2,1," 	79,272 "
1923,IT SPEC 3,1," 	83,951 "
1822,CONSTRUCT INSP 2,1," 	67,442 "
3450,SURVEYOR 1,1," 	73,042 "
1388,STR SEWER MACH OPR 1,1," 	56,233 "
3953,PROGRAM ASST 3,1," 	60,386 "
3216,CONSTRUCT INSP 2,1," 	73,335 "
3724,CONSTRUCT INSP 2,1," 	72,680 "
2643,FLEET TECH,1," 	69,661 "
2819,AUTO MAINT WKR 2,1," 	56,495 "
3253,FLEET TECH,1," 	66,523 "
10446,FLEET TECH,1," 	49,991 "
2425,OPERATIONS CLERK,1," 	60,623 "
2524,FLEET TECH,1," 	59,496 "
VACANT,VACANT,VACANT,VACANT
1789,WELDER,1," 	67,564 "
1343,ADMIN ASST,1," 	63,457 "
1983,FLEET TECH,1," 	57,763 "
3490,FLEET TECH,1," 	70,288 "
2441,PUB WKS GEN FORE,1," 	77,164 "
2654,FLEET PARTS TECH,1," 	58,458 "
10246,FLEET TECH,1," 	49,991 "
VACANT,VACANT,VACANT,VACANT
2105,PUB WKS GEN FORE,1," 	77,164 "
3921,FLEET TECH,1," 	69,661 "
2447,FLEET PARTS TECH,1," 	60,082 "
2341,FLEET TECH,1," 	68,405 "
VACANT,VACANT,VACANT,VACANT
3792,FLEET TECH,1," 	64,694 "
3720,MASTER AUTO BODY TEC,1," 	63,944 "
1313,FLEET TECH,1," 	70,288 "
2451,FLEET TECH,1," 	61,228 "
2721,FLEET TECH,1," 	62,384 "
10490,FLEET TECH,1," 	49,991 "
1755,FLEET TECH,1," 	61,228 "
3854,FLEET TECH,1," 	64,694 "
10208,FLEET TECH,1," 	51,620 "
3161,FLEET TECH,1," 	70,288 "
1920,FLEET SERVS SUPT,1," 	99,478 "
9195,FLEET PARTS TECH,1," 	48,358 "
9313,FLEET TECH,1," 	51,620 "
2480,ACCT TECH 2,1," 	56,543 "
2590,SIGN PAINTER,1," 	65,143 "
3446,TRAFF SIG ELECTR 2,1," 	72,200 "
2878,TRAFF SIG ELECTR 1-16,1," 	62,122 "
2301,TRAFF ENGR 4,1," 	111,958 "
3411,CITY TRAFF ENGR/PKG,1," 	148,333 "
2356,TRAFF SIG ELECTR 2,1," 	70,863 "
1259,ENGR PROG SPEC 1,1," 	74,206 "
3497,STOREKEEPER,1," 	61,722 "
6336,TRAFF CONT MAINT WKR,1," 	52,192 "
2820,TRAFF OPER LDWKR,1," 	67,081 "
7782,TRAFF CONT MAINT WKR,1," 	49,418 "
1602,TRAFF OPER MGR,1," 	92,190 "
3204,COMMUNIC TECH 2,1," 	74,875 "
3060,TRAFF OPER LDWKR,1," 	65,839 "
1055,TRANSP OPNS ANAL,1," 	83,951 "
1510,COMM TECH 3,1," 	75,052 "
1648,TRAFF ENGR 2,1," 	92,190 "
3937,COMP MAP/GIS COORD,1," 	97,347 "
7690,COMMUNIC TECH 1-16,1," 	56,359 "
1839,TRAFF SIG MAINT WKR,1," 	56,762 "
5916,TRAFF SIG MAINT WKR,1," 	53,582 "
1543,PED BICYCLE SAFETY A,1," 	56,689 "
2217,COMMUNIC TECH 1,1," 	63,931 "
VACANT,VACANT,VACANT,VACANT
3659,COMM OPER LDWKR,1," 	64,392 "
3525,TRAFF SIG ELECTR 1,1," 	66,947 "
3711,SECRETARY 1,1," 	55,676 "
8980,COMMUNIC TECH 1,1," 	55,109 "
10619,FACILITY MAINT WKR-16,1," 	46,722 "
1020,PED-BICYCLE COORD,1," 	74,510 "
3345,MAINT PAINTER,1," 	63,980 "
7536,ENGINEER 1-18,1," 	61,287 "
5785,COMMUNIC OPER SUPV,1," 	72,726 "
VACANT,VACANT,VACANT,VACANT
6348,CIVIL TECH 2-16,1," 	58,164 "
8034,ENGINEER 1-18,1," 	61,287 "
1710,PROGRAM ASST 1,1," 	57,198 "
VACANT,VACANT,VACANT,VACANT
2611,COMMUNICATION WKR,1," 	61,722 "
2187,TRAFF SIG MAINT WKR,1," 	56,762 "
2235,TRAFF SIG MAINT WKR,1," 	58,415 "
3187,TRAFF SIG ELECTR 2,1," 	74,206 "
9555,TRAFF CONT MAINT WKR,1," 	49,418 "
3569,TRAFF ENGR 4,1," 	110,950 "
VACANT,VACANT,VACANT,VACANT
2047,MAINT PAINTER,1," 	59,908 "
1570,TRAFF CONT MAINT WKR,1," 	56,796 "
3289,TRAFF CONT MAINT WKR,1," 	52,192 "
8023,PKG TECH AIDE,1," 	49,418 "
2428,PKG SERVICE WKR,1," 	56,900 "
2122,PKG EQUIP MECH,1," 	58,940 "
2367,PKG CASHIER,1," 	47,899 "
1595,PKG CASHIER,0.8," 	37,977 "
3820,ADMIN CLK 2,1," 	58,238 "
9396,PKG ANALYST,1," 	66,527 "
2990,PKG CASHIER,0.7," 	30,835 "
7920,PKG CASHIER,0.85," 	33,208 "
VACANT,VACANT,VACANT,VACANT
2198,PKG MAINT WKR 1,1," 	49,418 "
9077,PKG MAINT WKR 1,1," 	47,871 "
